,DewPointF,WindChillF,WindGustKmph,airport,cloudcover,date,humidity,precipMM,pressure,tempF,time,visibility,weatherCode,winddirDegree,windspeedKmph
2016-01-01 00:00:00,40,40,33,"SFO, San Francisco International Airport, United States of America",0,2016-02-01,76,0.0,1019,47,0,10,113,337,26
2016-01-01 01:00:00,39,40,35,"SFO, San Francisco International Airport, United States of America",0,2016-02-01,75,0.0,1018,46,100,10,113,337,26
2016-01-01 02:00:00,38,39,38,"SFO, San Francisco International Airport, United States of America",0,2016-02-01,74,0.0,1018,46,200,10,113,337,26
2016-01-01 03:00:00,37,38,40,"SFO, San Francisco International Airport, United States of America",0,2016-02-01,73,0.0,1017,46,300,10,113,337,26
2016-01-01 04:00:00,38,39,38,"SFO, San Francisco International Airport, United States of America",0,2016-02-01,75,0.0,1018,46,400,10,113,337,25
2016-01-01 05:00:00,38,39,36,"SFO, San Francisco International Airport, United States of America",0,2016-02-01,76,0.0,1018,46,500,10,113,337,24
2016-01-01 06:00:00,39,39,33,"SFO, San Francisco International Airport, United States of America",0,2016-02-01,78,0.0,1019,46,600,10,113,338,23
2016-01-01 07:00:00,40,41,29,"SFO, San Francisco International Airport, United States of America",0,2016-02-01,78,0.0,1020,47,700,10,113,340,21
2016-01-01 08:00:00,41,42,25,"SFO, San Francisco International Airport, United States of America",0,2016-02-01,77,0.0,1021,48,800,10,113,343,19
2016-01-01 09:00:00,41,44,21,"SFO, San Francisco International Airport, United States of America",0,2016-02-01,77,0.0,1021,50,900,10,113,345,18
2016-01-01 10:00:00,41,45,20,"SFO, San Francisco International Airport, United States of America",0,2016-02-01,73,0.0,1022,51,1000,10,113,344,17
2016-01-01 11:00:00,41,47,19,"SFO, San Francisco International Airport, United States of America",0,2016-02-01,69,0.0,1023,52,1100,10,113,344,16
2016-01-01 12:00:00,41,49,18,"SFO, San Francisco International Airport, United States of America",0,2016-02-01,65,0.0,1024,54,1200,10,113,343,16
2016-01-01 13:00:00,41,50,19,"SFO, San Francisco International Airport, United States of America",0,2016-02-01,64,0.0,1024,54,1300,10,113,339,16
2016-01-01 14:00:00,41,50,19,"SFO, San Francisco International Airport, United States of America",0,2016-02-01,62,0.0,1024,55,1400,10,113,334,16
2016-01-01 15:00:00,41,51,19,"SFO, San Francisco International Airport, United States of America",0,2016-02-01,61,0.0,1024,55,1500,10,113,330,16
2016-01-01 16:00:00,42,50,19,"SFO, San Francisco International Airport, United States of America",1,2016-02-01,64,0.0,1025,54,1600,10,113,324,16
2016-01-01 17:00:00,42,50,18,"SFO, San Francisco International Airport, United States of America",2,2016-02-01,68,0.0,1025,54,1700,10,113,318,16
2016-01-01 18:00:00,43,49,18,"SFO, San Francisco International Airport, United States of America",3,2016-02-01,72,0.0,1025,53,1800,10,113,312,15
2016-01-01 19:00:00,44,48,16,"SFO, San Francisco International Airport, United States of America",4,2016-02-01,74,0.0,1025,52,1900,10,113,314,14
2016-01-01 20:00:00,45,47,15,"SFO, San Francisco International Airport, United States of America",4,2016-02-01,77,0.0,1025,50,2000,10,113,316,13
2016-01-01 21:00:00,45,46,13,"SFO, San Francisco International Airport, United States of America",5,2016-02-01,80,0.0,1026,48,2100,10,113,318,12
2016-01-01 22:00:00,46,46,14,"SFO, San Francisco International Airport, United States of America",4,2016-02-01,81,0.0,1026,47,2200,10,113,317,12
2016-01-01 23:00:00,46,45,14,"SFO, San Francisco International Airport, United States of America",3,2016-02-01,82,0.0,1026,46,2300,10,113,317,12
2016-01-02 00:00:00,46,44,14,"SFO, San Francisco International Airport, United States of America",2,2016-02-02,83,0.0,1026,45,0,10,113,316,13
2016-01-02 01:00:00,46,45,14,"SFO, San Francisco International Airport, United States of America",14,2016-02-02,84,0.0,1025,46,100,10,113,315,12
2016-01-02 02:00:00,45,46,14,"SFO, San Francisco International Airport, United States of America",25,2016-02-02,84,0.0,1025,48,200,10,113,314,11
2016-01-02 03:00:00,45,47,14,"SFO, San Francisco International Airport, United States of America",37,2016-02-02,85,0.0,1025,49,300,10,113,313,11
2016-01-02 04:00:00,45,47,12,"SFO, San Francisco International Airport, United States of America",58,2016-02-02,87,0.1,1025,49,400,9,113,303,9
2016-01-02 05:00:00,45,47,11,"SFO, San Francisco International Airport, United States of America",79,2016-02-02,88,0.1,1025,49,500,8,122,294,8
2016-01-02 06:00:00,45,47,10,"SFO, San Francisco International Airport, United States of America",100,2016-02-02,90,0.2,1025,49,600,7,122,285,6
2016-01-02 07:00:00,46,48,9,"SFO, San Francisco International Airport, United States of America",100,2016-02-02,90,0.3,1025,50,700,6,122,264,6
2016-01-02 08:00:00,47,49,7,"SFO, San Francisco International Airport, United States of America",100,2016-02-02,90,0.4,1025,50,800,4,266,243,5
2016-01-02 09:00:00,47,50,6,"SFO, San Francisco International Airport, United States of America",100,2016-02-02,91,0.5,1025,51,900,2,266,223,5
2016-01-02 10:00:00,48,50,8,"SFO, San Francisco International Airport, United States of America",100,2016-02-02,90,0.5,1025,52,1000,2,266,204,6
2016-01-02 11:00:00,49,51,9,"SFO, San Francisco International Airport, United States of America",100,2016-02-02,90,0.5,1025,53,1100,2,266,185,8
2016-01-02 12:00:00,50,51,11,"SFO, San Francisco International Airport, United States of America",100,2016-02-02,89,0.5,1025,54,1200,2,266,166,9
2016-01-02 13:00:00,50,52,10,"SFO, San Francisco International Airport, United States of America",100,2016-02-02,88,0.4,1024,55,1300,3,266,162,9
2016-01-02 14:00:00,50,53,10,"SFO, San Francisco International Airport, United States of America",100,2016-02-02,87,0.4,1024,55,1400,4,266,158,9
2016-01-02 15:00:00,51,53,10,"SFO, San Francisco International Airport, United States of America",100,2016-02-02,86,0.3,1024,56,1500,5,266,154,8
2016-01-02 16:00:00,50,53,9,"SFO, San Francisco International Airport, United States of America",100,2016-02-02,85,0.2,1024,56,1600,6,266,139,7
2016-01-02 17:00:00,50,53,8,"SFO, San Francisco International Airport, United States of America",100,2016-02-02,85,0.1,1024,55,1700,8,122,123,6
2016-01-02 18:00:00,49,53,7,"SFO, San Francisco International Airport, United States of America",100,2016-02-02,85,0.0,1024,55,1800,10,122,108,5
2016-01-02 19:00:00,49,51,10,"SFO, San Francisco International Airport, United States of America",100,2016-02-02,86,0.0,1025,54,1900,10,122,98,7
2016-01-02 20:00:00,49,50,12,"SFO, San Francisco International Airport, United States of America",99,2016-02-02,88,0.0,1025,52,2000,10,122,89,9
2016-01-02 21:00:00,48,49,15,"SFO, San Francisco International Airport, United States of America",99,2016-02-02,89,0.0,1025,51,2100,10,122,80,11
2016-01-02 22:00:00,48,48,15,"SFO, San Francisco International Airport, United States of America",99,2016-02-02,90,0.0,1026,50,2200,10,122,82,11
2016-01-02 23:00:00,47,47,15,"SFO, San Francisco International Airport, United States of America",98,2016-02-02,91,0.0,1026,50,2300,10,122,84,12
2016-01-03 00:00:00,46,46,15,"SFO, San Francisco International Airport, United States of America",98,2016-02-03,91,0.0,1026,49,0,10,122,86,12
2016-01-03 01:00:00,45,45,15,"SFO, San Francisco International Airport, United States of America",98,2016-02-03,91,0.0,1026,48,100,10,122,86,12
2016-01-03 02:00:00,45,44,15,"SFO, San Francisco International Airport, United States of America",97,2016-02-03,91,0.0,1026,47,200,10,122,85,12
2016-01-03 03:00:00,44,43,14,"SFO, San Francisco International Airport, United States of America",97,2016-02-03,91,0.0,1026,46,300,10,122,85,12
2016-01-03 04:00:00,44,43,15,"SFO, San Francisco International Airport, United States of America",98,2016-02-03,91,0.0,1026,47,400,10,122,87,12
2016-01-03 05:00:00,44,43,16,"SFO, San Francisco International Airport, United States of America",98,2016-02-03,91,0.0,1026,47,500,10,122,88,12
2016-01-03 06:00:00,44,43,16,"SFO, San Francisco International Airport, United States of America",99,2016-02-03,91,0.0,1026,47,600,10,122,89,12
2016-01-03 07:00:00,44,43,16,"SFO, San Francisco International Airport, United States of America",99,2016-02-03,90,0.0,1027,47,700,10,122,91,12
2016-01-03 08:00:00,44,43,16,"SFO, San Francisco International Airport, United States of America",100,2016-02-03,89,0.0,1027,47,800,10,122,93,11
2016-01-03 09:00:00,44,44,15,"SFO, San Francisco International Airport, United States of America",100,2016-02-03,89,0.0,1027,48,900,10,122,96,11
2016-01-03 10:00:00,44,45,14,"SFO, San Francisco International Airport, United States of America",100,2016-02-03,85,0.0,1028,49,1000,10,122,105,10
2016-01-03 11:00:00,44,47,13,"SFO, San Francisco International Airport, United States of America",100,2016-02-03,82,0.0,1028,50,1100,10,122,114,10
2016-01-03 12:00:00,44,48,12,"SFO, San Francisco International Airport, United States of America",100,2016-02-03,79,0.0,1028,51,1200,10,122,124,9
2016-01-03 13:00:00,44,49,12,"SFO, San Francisco International Airport, United States of America",100,2016-02-03,76,0.0,1028,52,1300,10,122,138,9
2016-01-03 14:00:00,44,51,13,"SFO, San Francisco International Airport, United States of America",100,2016-02-03,73,0.0,1028,54,1400,10,122,153,10
2016-01-03 15:00:00,44,52,13,"SFO, San Francisco International Airport, United States of America",100,2016-02-03,69,0.0,1028,55,1500,10,122,168,10
2016-01-03 16:00:00,45,52,14,"SFO, San Francisco International Airport, United States of America",100,2016-02-03,72,0.0,1028,55,1600,9,122,170,10
2016-01-03 17:00:00,46,52,14,"SFO, San Francisco International Airport, United States of America",100,2016-02-03,75,0.0,1028,55,1700,8,122,171,11
2016-01-03 18:00:00,47,52,15,"SFO, San Francisco International Airport, United States of America",100,2016-02-03,79,0.1,1028,55,1800,7,122,173,11
2016-01-03 19:00:00,48,52,14,"SFO, San Francisco International Airport, United States of America",100,2016-02-03,82,0.1,1028,55,1900,6,122,170,10
2016-01-03 20:00:00,49,52,13,"SFO, San Francisco International Airport, United States of America",100,2016-02-03,86,0.2,1028,54,2000,4,266,167,9
2016-01-03 21:00:00,50,51,12,"SFO, San Francisco International Airport, United States of America",100,2016-02-03,90,0.2,1029,53,2100,2,266,164,8
